route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
224,Weekday,2352__201018_Timetable_-_2025-02,Taunton,0,201018_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
917,Weekday,2353__201049_Timetable_-_2025-02,Oshawa Centre Terminal,0,201049_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
216,SatSun,2354__261004_Timetable_-_2025-02,Taunton,0,261004_Timetable_-_2025-02,100.0.1952647071_Timetable_-_2025-02,Northbound,1
216,SatSun,2355__261006_Timetable_-_2025-02,Ajax Station,1,261006_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
216,SatSun,2356__261003_Timetable_-_2025-02,Ajax Station,1,261003_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
224,SatSunReg,2357__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
224,Weekday,2359__201016_Timetable_-_2025-02,Taunton,0,201016_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
407,Weekday,235__401011_Timetable_-_2025-02,A - Raleigh,1,401011_Timetable_-_2025-02,100.0.1046829532_Timetable_-_2025-02,Southbound,1
916,SatSun,2362__261018_Timetable_-_2025-02,Conlin,0,261018_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
917,Weekday,2363__201048_Timetable_-_2025-02,Oshawa Centre Terminal,0,201048_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
224,Weekday,2366__201017_Timetable_-_2025-02,Ajax Station,1,201017_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,SatSun,2367__261001_Timetable_-_2025-02,Oshawa Centre Terminal,0,261001_Timetable_-_2025-02,100.0.1952648906_Timetable_-_2025-02,Eastbound,1
407,Weekday,236__401008_Timetable_-_2025-02,Raleigh,1,401008_Timetable_-_2025-02,100.0.1952647814_Timetable_-_2025-02,Southbound,1
917,Weekday,2370__201049_Timetable_-_2025-02,Pickering Parkway Terminal,1,201049_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
216,SatSun,2371__261003_Timetable_-_2025-02,Ajax Station,1,261003_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
411,SatSun,2373__461023_Timetable_-_2025-02,Oshawa Centre Terminal,1,461023_Timetable_-_2025-02,100.0.1952650521_Timetable_-_2025-02,Westbound,1
411,SatSun,2374__461009_Timetable_-_2025-02,Oshawa Centre Terminal,1,461009_Timetable_-_2025-02,100.0.1952650524_Timetable_-_2025-02,Westbound,1
216,SatSun,2375__261004_Timetable_-_2025-02,Ajax Station,1,261004_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
916,SatSun,2376__261020_Timetable_-_2025-02,Pickering Parkway Terminal,1,261020_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
216,SatSun,2377__261003_Timetable_-_2025-02,Ajax Station,1,261003_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
216,SatSun,2378__261003_Timetable_-_2025-02,Ajax Station,1,261003_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
917,SatSunReg,2379__261008_Timetable_-_2025-02,Pickering Parkway Terminal,1,261008_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
407,Weekday,237__401011_Timetable_-_2025-02,Harmony,0,401011_Timetable_-_2025-02,100.0.1952647813_Timetable_-_2025-02,Northbound,1
916,SatSun,2381__261015_Timetable_-_2025-02,Conlin,0,261015_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
917,Weekday,2382__201049_Timetable_-_2025-02,Pickering Parkway Terminal,1,201049_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2383__201076_Timetable_-_2025-02,Ajax Station,1,201076_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
916,SatSun,2384__261009_Timetable_-_2025-02,Conlin,0,261009_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
502,SatSun,2385__461010_Timetable_-_2025-02,Clarington Boulevard,1,461010_Timetable_-_2025-02,100.0.1952652001_Timetable_-_2025-02,Westbound,1
916,SatSun,2386__261019_Timetable_-_2025-02,Conlin,0,261019_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
502,SatSun,2387__461016_Timetable_-_2025-02,Clarington Boulevard,1,461016_Timetable_-_2025-02,100.0.1952652001_Timetable_-_2025-02,Westbound,1
224,Weekday,2388__201018_Timetable_-_2025-02,Ajax Station,1,201018_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
916,SatSun,2389__261016_Timetable_-_2025-02,Pickering Parkway Terminal,1,261016_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
407,Weekday,238__401008_Timetable_-_2025-02,C - Harmony,0,401008_Timetable_-_2025-02,100.0.1046829531_Timetable_-_2025-02,Northbound,1
917,Weekday,2390__201049_Timetable_-_2025-02,Pickering Parkway Terminal,1,201049_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
917,SatSun,2391__261007_Timetable_-_2025-02,Pickering Parkway Terminal,1,261007_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
917,Weekday,2392__201050_Timetable_-_2025-02,Oshawa Centre Terminal,0,201050_Timetable_-_2025-02,100.0.1952648906_Timetable_-_2025-02,Eastbound,1
224,SatSunReg,2394__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
224,SatSunReg,2396__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,Weekday,2397__201082_Timetable_-_2025-02,Pickering Parkway Terminal,1,201082_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2398__201018_Timetable_-_2025-02,Taunton,0,201018_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
